N,concerns,concerns category,anything else,anything else category
255,"I am very concerned about the date for exam 3. In the syllabus it says ""Students should take Exam 3 under supervision of their facilitator any time on Wednesday Apr 5, 2023."" The entire week of April 5th is spring break for my school, it doesn't line up with GA Tech's spring break. I only know a few counties, but that week is Spring Break for at least Dekalb, Forsyth, Fulton, and Cobb, but I assume there are others with this same issue. I'm just worried, especially since my family had planned a vacation out of state that week.

Is there a plan for schools that are out the week of April 5th? 

 ",OT,NA,NC
83,"My concerns are just having it be self-guided and not having much guidance. In addition, exams are worth more this semester.",OT,NA,NC
79,The distance learning was a bit of a struggle for me last semester and the removal of the weekly quizzes is a little frustrating since those helped me learn more specifics.,OT,NA,NC
584,Writing my Zs and having them look like 2s.,OT,NA,NC
56,"There's always debates concerning whether linear algebra or multivariable calculus is more difficult which sort of scares me. Linear Algebra has definently challenged me and required me to think harder about math and if some people say multivariable is harder, I have no idea what this semester is going to look like. ",OT,There are no questions yet. ,NC
204,Keeping myself accountable and managing my time wisely,TM,N/A,NC
540,Keeping up the motivation to balance learning and completing assignments alongside other commitments.,TM,N/A,NC
521,The only thing that really concerns me would be time management while taking the course my senior year. I can solve this by planning out my weeks.,TM,N/A,NC
421,I feel like there might be a point in time where i lose time management and start to stress out,TM,NA,NC
171,I'm worried I will fall behind,TM,NA,NC
308,I’m a little worried about how much of calculus i remember but i’ll review,TM,na,NC
593,Im concerned I won't time manage.,TM,NA,NC
534,Keeping up with the pace of information and watching all lectures,TM,NA,NC
390,My concerns are my ability to manage my time to prepare for exams adequately. ,TM,NA,NC
560,I am worried that I will get behind and do poorly on exams due to senioritis.,TM,"Math is one of my favorite subjects, but I am not particularly fond of proofs.",NC
181,I am concerned whether I will be able to keep up with this course and distance CS. I hope I can stay ahead and turn in assignments before they are due.,TM,N/A,NC
384,"After last semester, I'm most concerned about getting behind on learning material.  However, this is definitely a personal issue of procrastination, and I'm feeling a lot better after reorganizing how I study so I don't get overwhelmed.",TM,N/A,NC
42,"I have no major concerns, but the exams are a lot sooner than last year, so the time crunch will be a bit worse.",TM,N/A,NC
52,"I'm worried about balancing time between my internship, other classes, robotics, and this class.",TM,N/A,NC
51,"The only thing I am worried about with this class is the workload. I am a participant in my high school's theatre program, so a lot of my time will be spent rehearsing for our production in May. I plan to combat the stress of a heavy workload by staying ahead and attending office hours when I am struggling, so I can get clarity before it is too late.",TM,"N/A. I think that last semester gave me a good idea of how the course would function, so I am prepared for this upcoming semester.",NC
280,I am concerned that I will become complacent closer to the end of the course and not be as focused on studying or completing assignments.,TM,NA,NC
545,I am concerned that I will fall behind and in turn not learn some of the material well enough to perform well on the exams.,TM,NA,NC
250,I am concerned that the work load will become quite a bit when there is a lot of content packed into a week. ,TM,NA,NC
418,I am concerned with how fast it is going and that I may not be able to keep up with the topics and material.,TM,NA,NC
199,I am concerned with pacing for this course since many people who have taken this course in years prior have warned me about certain weeks/modules taking significantly longer than others. ,TM,NA,NC
377,I am mostly concerned about the amount of material to be consumed in a short amount of time. ,TM,NA,NC
567,I am worried about the difficulty level of this course and my time management.,TM,NA,NC
533,I am concerned about pacing myself with my work well this semester. ,TM,NA,NC
541,Being able to balance the college workload with my other high school senior responsibilities.,TM,NA,NC
235,Being on schedule and reviewing before a test in time,TM,NA,NC
122,I am concerned about my ability to effectively manage my time so that I study enough to understand all the material for exams.,TM,NA,NC
121,"I concerned that I will procrastinate again; however, I am going to try much harder this semester and get an A. ",TM,NA,NC
75,"I'm concerned about getting behind on my work. Since it's an online course, it's very easy to not look at the work for a while and forget about it.",TM,NA,NC
18,I'm playing on the soccer team this year so managing my time will be more important and may be a challenge for me.,TM,NA,NC
94,"Keeping up with work and live studio sessions, as this was a struggle last semester. ",TM,NA,NC
150,"My concern is that I will not have enough time to keep up with such a rigorous course and complete each homework assignment each week. But to combat that, I will make sure to keep up with due dates and hold myself accountable for the work I need to get done. ",TM,NA,NC
40,Nothing regarding like the formatting of it or being able to find content but maybe just personally how I will do with procrastination,TM,NA,NC
389,"Personally I would put NA, however in the back corner of my mind that monkey brain of mine loves to procrastinate. I would love to not do that, so I guess that would be my concern.",TM,"NA, the material from last course was more than exceptional.",NC
510,"I am most concern about remembering all the content and understanding the content in general because if I do not understand some part of the content at the beginning, I am afraid I will quickly fall behind. ",TM,"No, there is nothing I would like to mention.",NC
32,"I'm worried that out of my own bad habits I'm going to start cramming material which is something I don't want. I'm also slightly more concerned about taking the exams because compared to last semester there's one more, and since they make up 60% of my grade I'm paranoid.",TM,Not really,NC
243,"Not getting ahead on work concerns me, since I'm taking a research class and I don't want the work to accumulate. ",TM,There is nothing,NC
100,The final exam concerns me the most about taking this course as it lowered my grade drastically last semester. ,LM,I would like to know if there will be as many practice tests similar to the last semester. ,OT
564,- absolutely the exams and tests; I do poorly under pressure,LM,"I live in Fulton County and also participate in orchestra.

Exam 1 date 2/15 overlaps with an important all-day event for orchestra (LGPE). 

Exam 3 date 4/5 overlaps with Spring Break for Fulton County, and is also my birthday.",OT
568,None im too smart,NC,I miss your voice greg please come back i need you,OT
292,NA,NC,"Regarding my individual needs, I have an unstable home environment. I've gone through the process of talking to the Dean of Students.",OT
313,I would like the MMLs to show up in the modules! Like they did for 1554QHS,OT,I would like the MMLs to show up in the modules! Like they did for 1554QHS,OT
555,"While I completed AP Calculus AB/BC last year, I am afraid I may have forgot the material, so I need refreshing for multi-variable Calculus.",LM,I am excited to learn the applications of multi-variable calculus and compare and contrast multi-variable calculus with my prior knowledge.,
409,"Maybe the fact that the tests are no-calculator, its a little daunting.",LM,"I am not the greatest with learning online as opposed to face-to-face, but nonetheless I am excited for this course and am ready to work hard!",
178,"I wonder when the difficulty jump will be, because I am aware that it seems to start simple but will get much harder.",LM,I dont have any unique individual needs.,
576,What concerns me the most is staying focused throughout the whole semester to understand the material as my other classes get difficult as well.,LM,I loved AP Calculus so I'm really looking forward to expand my knowledge on calculus even further.,
470,My biggest concern is not knowing all of the assignments or resources I need to utilize. It would be horrible if I found out I missed an assignment or an extra credit opprotunity.,LM,"I might not be able to attend live studio sessions because of after school hours, but I will try to watch all of the recordings.",
571,I just hope I can get a better grasp of concepts than I had last semester so that my grade can better reflect my capabilities.,LM,I struggled a lot last semester as there wasn't really peers I could turn towards for any sort of help as my school has very few people in this course and those people don't really help each other out.,
321,"My concerns include the heavy weight of the exams; however, with disciplined preparation, I believe it is possible to achieve success in this course!",LM,"I tend to get quite nervous before exams; however, I do my best to get help when needed/work my way through problems to get deep understanding of course materials. I believe course material is more spaced out as compared to linear; however, I believe the content is more rigorous, so I will need to ensure that I remain up-to-speed/ahead on all course content!",
599,"It's been a while since I've done any calculus, so I might be rusty on some skills.",LM,I think multivariable calculus will be a more advanced form of calculus that I learned in AP.,
466,My main concern in striving for a A in this class. I find that I struggle to learn something unless I view it in many different lenses (so the videos textbook and studio sessions will definitely help).,LM,I will be in India from Jan 20- Feb 3 and so I will be trying to get ahead in the early weeks of this course.,
407,"I'm just worried about learning everything well enough to apply it in later courses, but hopefully if I watch lectures and studios and do practice problems I won't have an issue with that.",LM,I'm looking forward to the extra credit practice problems.,
448,"Understanding concepts like partial derivatives, multiple integrals, and vector calculus can be difficult for me.

Second, the course may require a significant amount of computational work and problem solving, which can be time-consuming and challenging.",LM,I'm very interested in physics and this class will definitely help pursue my passion in that field.,
162,My biggest concern is my ability to learn the material and pace myself. This semester will be more hectic than last semester making it more difficult to dedicate time to learning the material. ,LM,I've learned a lot from the first segment of distance math in terms of what to expect with assignments and pacing so I'm not as worried about that this time around. One thing that I will be experiencing this semester is going to India for two weeks for a family event which may interfere with the course. ,
472,"Something that concerns me is how everything builds in this unit. Like if I don't understand one unit, then it'll snowball into other units not ending up too well. ",LM,"Math is somewhat of a struggle for me, but I'll try my best this semester!!",
508,I'm concerned with how it is based heavily on Calculus especially considering how difficult BC calculus was last year. I'm also scared that we will be expected to remember things from last year that I might not remember how to do. This course is also said to be covering more than Linear Algebra so it will go faster and I'm scared that I will get lost or confused or that it might go too fast for me. I think the breakdown of the Linear Algebra course really helped me so I am going to try to follow and trust the breakdown of this course as well. ,LM,"My impression of the course so far is pretty good. I've heard that it is less theoretical and thus less complicated than the linear algebra course. I am looking forward to solving more porblems instead of memorizing rules and definitions. I am a little overwhlemed by the amount of content we will cover but I believe that as we go through it, I'll be alright with the piece by piece.  ",
523,What concerns me the most about taking this course is the proximity of the exams in terms of time.,LM,My impression of the course so far is that it is a self-taught course. ,
200,My ability to stay focused and perform in an online setting.,LM,My main concern has been keeping up with the work and managing studying.,
144,I am most concerned about the exam questions matching the lesson coverage.,LM,I am impressed by the application of the concepts.,
515,I am concerned about the in-person exams and whether I will be prepared for them with plenty of practices. ,LM,I am someone who asks a lot of questions and needs clarifications! :),
272,"I am most concerned about getting behind like last semester and doing things the day they are due, so I am going to try and stay better on track this semester. I am also concerned about retaining all of the information for subsequent courses.",LM,I am very excited to see how linear algebra and multi build on each other and our understanding of mathematics. I am a little worried about taking the exams on different days but I have been talking to my facilitator and you.,
371,"I am concerned about falling behind the daily videos, as I struggled with this towards the end of last semester in Linear Algebra.",LM,"I believe that this course will be really fun/enjoyable, or at least more so than linear algebra as that was more conceptual and I enjoy being able to visualize the math functions",
495,"From my experience last semester, I felt very unprepared for the final and did not receive the grade that I wanted. Besides that, this course seems reasonable so far. ",LM,I have heard alot about MVC from prior friends who have already taken this course and it seems like a very interesting course. I was very proficient at calculus and want to learn more about the subject as a whole considering more variables. ,
230,"I am concerned about balancing the work needed for this course with other classes and extracurriculars. I have also heard that this course is more difficult than linear algebra, which worries me somewhat.",LM,I look forward to completing this course and learning about multivariable calculus.,
136,I am concerned about understanding the topic and receiving an A. ,LM,I may need some assistance at some point or will have questions later in the course. ,
55,"I am concerned with my ability to master the material on my own. I feel I can do well on the quizzes, but I feel less confident on the true and false questions. I sometimes have trouble with the theoretical questions.",LM,I really appreciate it when extra practice is posted for review before tests and exams.,
428,I have no concerns about this course. ,NC,Everything so far has been quite simple. I have no individual needs towards the course. ,
565,"Nothing, I'm mainly just excited since I enjoyed my first Calculus classes.",NC,All I've heard about the course is that if you enjoy calculus then you should do fine,
278,None.,NC,"At the moment, I do not have anything. ",
509,NA,NC,I am interested and looking forwards to learning calculus.,
188,N/A,NC,I am on the autism spectrum and in general require basic accommodations for testing (time and a half and a separate testing room). I don't quite know who to contact about this.,OT
141,I do not have any real concerns.,NC,I do not have any individual needs.,
596,NA,NC,I don't think I have any needs. I've taken Java script and now CS 1301 so I feel pretty confident in my knowledge of how programming works. ,
156,none,NC,I have no concerns.,
142,N/A,NC,"I have no extenuating circumstances for this course, but In general, I don't love online classes, and which there was more of an emphasis on the writing assignments instead of HW assignments. ",
76,I have no concerns about taking this course. ,NC,I have nothing to inform you about my personal needs or impressions. ,
21,NA,NC,"I heard that Linear Algebra was harder than Multivariable Calculus from multiple people, so I'm expecting Multi to be a little easier to grasp and understand than Linear algebra.",
406,NA,NC,I really like Linear Algebra; I am hoping to use the same studying and working ethics for this course.,
346,None.,NC,"Last year, I enjoyed AP Calculus AB/BC, and I am excited to continue enriching my knowledge of calculus.",
589,"I am concerned about how much of linear algebra content will be used in this course, That was not a good course for me.",OT,I am excited to begin this course! No other concerns.,
27,"I am a bit worried because due to my work, I miss many of the studio sessions and while I ant to complete the worksheets and watch the videos, I have trouble effectively checking my work. A centralized location with all of the studio worksheet answers would be very useful especially when I redo the worksheets to prepare for the final exam.",OT,I'm excited to start!,
404,"I have heard that MVC has a heavier workload than Linear Algebra. If this is true, I hope to manage my time wisely to get everything done in a punctual manner,",TM,"I am really excited to delve into this course. AP Calculus AB/BC has been my favorite high school class thus far, and I am looking forward to exploring the different concepts that MVC will expand on this semester.",
309,"In the end of my senior year of high school, balancing the rigor of this course with all of the other assignments I have due in my other classes, studying for AP tests, and getting ready for college will make this class challenging for me, but I am excited to take the class on as long as I maintain good, healthy study strategies.",TM,I believe all that would come up is just coordinating when to take exams with the other students at my school taking this class. I remember one of the exams had to be administered to my school a few days after it was to most other students. Organizing exam dates will be something I will need to be proactive about.,
591,I'm concerned about falling behind on assignments and not being able to catch up.,TM,"I often can't get notifications for my GT email to work, so I may miss some things.",
118,I worry about my procrastination habits.,TM,I think I will need additional resources regarding word problems and conceptual work because that was my weakest area in Linear Algebra.,
115,Keeping up with weekly work and avoiding procrastination.,TM,I think linear algebra has served as a good prerequisite to multivariable calc due to its applications in this spring course.,
544,I am a little concerned about falling behind the schedule and then having to rush to learn the concepts. I will try to maintain a consistent work session to ensure I perform my best however.,TM,I am enjoying the course so far and believe that if I need any help that I can access it easily through studio sessions and Piazza.,
80,"I think I am concerned about understanding the content and managing my time. I want to be able to fully understand each of the lessons, but I'm scared that I might not be able to. I'm also worried about finding the time to watch all the lessons and do adequate practice for each of them. ",TM,I don't think there's anything that I need from you specifically. I think I just have to learn to manage my time and get my assignments done to be successful in this class. ,
325,"I am concerned that I will get sidetracked by other things such as my IB exams and not give this course the attention it needs. However, I am currently preparing to make sure that does not happen. ",TM,I love the class!,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
