Response ID,12172441: What are some of the things that you enjoy about our course so far?,"12172443: At this point in the semester, what concerns you the most about taking this course, if any? If you do not have any, you can write ""none"" or ""NA"". To receive full credit for this activity, you will need to write something below.","12172445: Anything you would like me to know about before we start our course regarding your individual needs, or impressions of the course so far? If there is nothing, please write NA or something similar, because to receive full credit for this activity, you will need to write something below."
253,I enjoyed the difficulty of linear algebra and how much it expanded my knowledge of math and I am hoping that this course will do the same. I also enjoy the asynchronous nature as it helps this course fit better into my busy schedule.,My one concern is this course conflicting with CS 1331 as both classes are difficult and time-consuming and have their exams on the same days.,N/A
254,I enjoy having the freedom to work on my assignments whenever I want to and getting to focus on each specific aspect of the class.,I just want to make sure I stay on task this semester and don’t put things off.,N/A
255,"I enjoy how the course is broken down into modules for each week, as it allows me to stay on track and keeps me organized.",NA,NA
256,The similarity to Linear algebra,na,NA
257,I am currently enjoying the content that we are learning.,NA,NA
258,"I enjoy the math in this class, and like the professor's teaching style as well.",What most concerns me about taking this course is the difficulty of the exams. I heard from a friend that had previously taken this class that the exams were very difficult.,N/A
259,"So far I feel that the content connects to concepts that I learned in linear algebra and calculus BC and therefore is simple to comprehend, and I love how these two concepts are now connecting. ",none,NA
260,"being able to go as ahead as I can at anytime, but also able to see all the old content. ",none,NA
261,"Ease of access of important information and resources, well-organized sections that allow for efficient time management.",NA,NA
262,I like that it is the same format as the Linear Algebra course I took last semester.,none,NA
263,"Organization of Canvas page, teaching methods, availability of extra practice resources",N/A,N/A
264,The ability to complete the course in my own time and at my own speed.,none,none
265,"The videos are very informative, the course is very laid out and the expectations are clear.",I am concerned that exams will be taking up a larger portion of our grade this semester when compared to last semester.,I'm looking forward to another great semester.
266,I enjoy learning new things about math.,NA,NA
267,I have really enjoyed how enriching the material is as we get a multitude of applications for the concepts we are learning.,NA,NA
268,I like the asynchronous manner of the course.,NA,NA
269,"I like all the examples in the lecture videos, they make the topics make more sense.",Managing my timing properly since I didn't last semester.,I got sick a lot last semester and hopefully I don't  during this one but I may have to ask to reschedule exams again due to sickness or swimming.
270,I like the structure of the class and how the videos teach exactly each concept that will be tested or applied in the mml's.,none,NA
271,"1. Detailed teaching video

2. Great professor, always answer your question.","The ability to accomplish an A

Will I be able to understand and use the knowledge I learned",Thank you for answering my question with so much detail!
272,"I enjoy that the canvas and the modules are easy to navigate and that the videos are easy to understand. Specifically, if I am looking for the weight of something or when it is due, I am able to quickly navigate through the modules or assignments list and find it. I also like that the slide deck for each video is linked above it and being able to write on a copy of them makes it easier to comprehend the content and make sure that I am writing in a way that I can understand the steps and not just copying the video. ",None,NA
273,All assignments are outlined with dates for us to complete.,N/A,N/A
274,"Dr.Mayer's smooth, silky voice",Midterms/Exams,NA
275,I enjoy that I can work relatively at my own pace and the work is pretty interesting.,NA,NA
276,"1. The way the course is paced

2. Unlimited attempts for homework and module test

3. Sample exams","1. Pacing myself with weekly videos

 ",NA
277,Self-paced work. ,None,NA
278,The lectures.,NA,NA
279,The pacing seems reasonable. I appreciate the flexibility of online courses and look forward to another great semester.,none,"I found the practice exams the most helpful resource last semester, and I hope to see more of those."
280,The overall organization is similar to MATH 1554! ,Not having a textbook to reference practice,Hopefully it is less memorization than linear algebra
281,"The homework is a good, self-paced, but active learning tool.",NA,NA
282,I like the announcements that make it clear what I need to do.,none,none
283,The ability to complete the course on my own time throughout the week.,N/A,N/A
284,"I have enjoyed the idea that I can use this period to study math, prepare for other classes, or take some time in the day for myself. I can't imagine how hectic my junior year would be without this flexible time.","I am concerned about understanding and retaining info. I'm worried I'll forget some of the finer points in linear algebra like I have with BC calc (I couldn't tell you much about Taylor series). I am curious if we just need the basic concepts or if we need all the info for later courses. I know that AP Physics C E and M tends to review any harder concepts of calculus before moving ahead, but I wouldn't be surprised if, at a college level, smaller and harder concepts from calculus were brought up as prior knowledge and expected to be known to all students without in-class review.",NA
285,The things I appreciate most about his course are the detailed lecture videos and the short but very helpful MML questions. Both help me a lot in preparation for tests and exams by allowing me to easily understand the content.,I do not have too many concerns about taking this course. It seems fine for now.,There's not much. I really enjoy the course thus far.
286,Studying math in a more familiar subject than linear algebra. ,None yet,None yet
287,"it's very well-organized and easy to follow, and the pacing works well. i enjoy how the topics are taught in a detailed yet quick manner.",none,none
288,"I enjoy the number of practice available (textbook, MML, Webwork), and the practice tests.",none,none
289,"I enjoy learning Multivariable in general because it has a lot of similarities with physics, which I am also interested in.",n/a,n/a
290,I'm able to complete the course at my own pace.,None,None
291,canvas and the organization of the syllabus ,none,NA
292,The organization of important information for the course.,NA,NA
293,I like being able to plan when I want to work on this class throughout the week.,none,none
294,Fast response on lecture questions/comments by other students/instructor,"Besides difficulty, N/A",N/A
295,,NA,NA
296,"I have enjoyed the freedom and need for discipline in the online environment, the application we have learned, and the availability of resources.",N/A,N/A
297,"Things that I enjoy about the course so far are that the assignment due dates are all listed, so I can better prepare a schedule to study with. Another thing I like about the course is that the lecture videos are very informative.",NA,NA
298,The lecture videos! And the clear-cut syllabus.,NA,NA
299,I like the way the course is spread out and builds off of old calculus concepts. ,One of my concerns includes balancing this rigorous class with other classes at my school and extracurriculars. ,NA
300,"I like the organization of the course on Canvas, that slides are attached before each instructional video, and that instructors respond well on Piazza.",NA,NA
301,Some things that I enjoy about our course so far is that I really enjoy the accessibility of each website and resource online to help me learn the course content. I like how I can find resources quickly. I also enjoy having all of my assignments open right from the beginning so that I can work ahead if I want to. ,"Honestly, the anticipated course workload this spring semester concerns me the most. Since I am taking this course in addition to my high school AP courses, I am worried that the workload in this course might get heavy, especially in the middle of the semester, while my workload in my other classes intensifies as well. I'm worried about having to grind out more work and get everything done in due time. ",NA
302,I like that it is easy to navigate and all of the resources are familiar from last semester.,none,NA
303,I enjoy the content as well as the flexible schedule with lots of time to complete assignments before they are due.,N/A.,N/A.
304,I enjoy that a textbook is available and that assignments are released beforehand so I can proceed at my own pace. I enjoy being able to work ahead so I have leeway if I get busy at a later point. I also like how MML assignments can be done in parts and redone until you achieve your desired grade. It puts less stress on me as a student and encourages improvement. The piazza board to ask questions is also a great resource to ask questions and engage with other students in the class. The office hours also helpful and I am grateful that they are offered.,NA,NA
305,I enjoy the number of resources available.,NA,I am a student with disability accommodations.
306,"1. Since this is an online course, I can go with my own pace as long as I meet the deadlines 

2. I can work ahead since everything is already published. ",NA,NA
307,I like the structure of the course and that everything is easy to find and well organized. I also like how everything is posted ahead of time and there is a lot of practice material.,NA,NA
308,The video lectures so far are well explained and thorough. ,none,NA
309,I like that this course is generally self paced and there isn't live lectures we need to attend. This way I can study and watch lectures on my own schedule.,I noticed that there are 3 exams in this course while last semester we only had 2.,NA
310,I like the discussion forum and how the videos can be used to review and better understand material.,Understanding all of the material and preparing enough about the exams.,NA
311,I enjoy the organization of the course and how the due dates for the assignments are all given and are clearly labeled. I also like how we have many resources available such as office hours to give us additional aid if needed. The combination of having lecture videos and textbooks readings is also nice because these each provide different ways to learn the material so that I can get a complete understanding.,I am the most concerned about staying ahead of the material so that I am not rushed when completing any of the assignments.,"I really like the extra practice that we receive sometimes, so if there are any opportunities like with the webwork or other assignments to do more problems and gain instant feedback, I would love to hear about and complete them."
312,Self-paced,NA,NA
313,"I haven't watched many of the lectures so far, but they seem to be working pretty well and have a lot of examples, which really helps.", NA,NA
314,"So far, I have enjoyed the self-pacing of the material.",NA,NA
315,"The MML gives helpful examples, and lecture videos are pretty straightforward and easy to understand.",None,NA
316,,,
317,I enjoy the depth of the videos.,None,NA
318,I have enjoyed the ability to be independent and work on my own time/schedule. I have also enjoyed having unlimited attempts on the homework as it creates a less stressful and pressured experience.,N/A,N/A
319,"Videos I can watch at any time

Homework with unlimited attempts

The GT Math community","I am taking a lot of difficult courses this semester, so I am afraid of falling behind, as the workload can sometimes get intense.",N/A
320,I enjoy the studio sessions and the MMLs.,NA,NA
321,I really enjoy all the resources offered in this course. Piazza allows for communication with peers and professors which is extremely helpful. I also like the amount of practice available in the course with MML and practice quizzes.,"I am always concerned over my grades, but I have achieved grades that I am very happy with in this course.",NA
322,One thing I've enjoyed about this course so far is the option to download the presentation right above the video. This makes it much easier to revisit content that I am confused by.,NA,NA
323,that it is self paced and allows us to go ahead. ,NA,NA
324,I enjoy the style of the videos and how the topics are taught to us.,NA,NA
325,"I like that it's very straightforward. The expectations are made known from day one, and there are little to no changes in the schedule.",NA,NA
326,I enjoy using Canvas as opposed to other applications such as Microsoft Teams and iCollege. ,none,none
327,I like how I can see most of the assignments ahead of time so I can manage my time well. I tend to put everything for classes in my calendar ahead of time so I could plan my extracurricular activities around them. ,"I don't really have many besides getting back into calculus in general again, since I haven't really done a lot since last year but I think that I can re-learn most of the concepts. ",NA
328,The flexibility of when time needs to be spent on the course.,I don't remember a lot of stuff from calc BC.,NA
329,Piazza is helpful.,I just don't really know what the gist of multivariable calculus is. It seems a lot like linear algebra.,None.
330,"I really really like the content material so far, it makes sense to me more than linear algebra and I hope it stays that way! ",I hope that there will be nothing but I am a little worried that the final exam will be during AP exam season. ,Nope! Everything is great so far!
331,"I like how it's easy to find assignments/deadlines, and I enjoy the frequent communication from the professors via announcements.",None,None
332,I enjoy the flexible schedule. ,NA,NA
333,So far I like the inclusion of the presentations as additional study resources. Also I like the fact that the videos seem to have more examples and real life applications. Other than that the content is mostly similar to Linear Algebra which I believe was pretty good.,"In general I think it is getting behind due to load from mainly other classes as this class is decently balanced and I can get ahead if needed, but when it comes to studying for exams it is a bit more stressful.",The course seems pretty good so far and seems like there will be many real life applications which I am excited for.
334,"The grading is very accurate and helpful to learn from mistakes. There are many places to go for help, and tips on time management are heavily promoted.",N/A,N/A
335,I enjoy the independent learning format and the resources that come with taking this course,I struggle with comprehending the course to its full extent because of the teaching style.,NA
336,"The lectures, using piazza",none,none
337,The videos are clear and easy to understand.,NA,NA
338,I enjoy the variety of resources we are provided to practice with,NA,NA
339,"I enjoy the diversity of resources available to us like the lecture videos, textbook, help sessions, etc.",N/A,N/A
340,I like that it builds on Calculus that I have already learned so far.,NA,NA
341,I enjoy the videos and the MML as they help me understand the content better.,NA,NA
342,Organization,The exams since in linear algebra the practice exams didn't help with the final exam and I was forced to remember all the content that I had studied outside of the practice exams. ,NA
343,"I enjoy studio hours. I like having a classroom-type environment, and studio allows me to have that interaction. Additionally, I like Piazza and find it a helpful resource.","I feel like it moves really fast. I don't know if I am just building it up in my head and maybe this is the same speed things normally are, but things just appear to go very fast. It is a pretty big complicated subject so I get it, but it just concerns me. I want to be able to keep up.",NA
344,Good Instruction and lots of practice to do.,NA,NA
345,Canvas for this course and Linear Algebra have been easy to use. I enjoy that everything is very organized. ,NA,NA
346,Weekly Review Sessions are very helpful.,NA,NA
347,"I was worried I'd be overwhelmed by the workload, mainly because it's an asynchronous class, but I've learned a lot of valuable skills in work ethic. Our course provides many resources, so I always have more practice available if needed. ","I barely received an A last semester with the CIOS incentive (I ended with an 89.12), so I'm worried I won't do well this semester. ",N/A
348,I enjoy the lecture videos because they make the content easier to understand than just reading the textbook. I also enjoy the Pearsons because they help me review the material I learned.,My main concern is meeting all deadlines and not being overwhelmed by the work. I feel like I can achieve this by working ahead at the start to give myself a buffer and avoid falling behind.,N/A
349,The flexibility is wonderful.,None,NA
350,I like the videos and the content. The videos are very easy to understand and the content itself is very relevant. I'm seeing some topics that I have learned in my physics class and it's cool to see the math behind it. ,NA,NA
351,"* I like how the lecture video format continued for MATH 2551

* WebWork!",none,NA
352,Pacing is done well. Started from basics as to not assume students retention is 100%.,"The first unit seems to have a number of physics related aspects, which was a class I struggled in more than most.",NA
353,Dr. Mayer,NA,NA
354,The lecture videos were extremely easy to follow and the practice matched the exams closely.,none,NA
355,it pushes me to learn and understand concepts I wouldn’t have been exposed to.,I’m concerned about the exams,N/A
356,The introductory studio session was very informative.,"I am slightly concerned about the pacing, this is a me issue since I am taking this class at an unusual time of day.",Online classes tend to be more challenging for me due to the isolation aspect of them.
357,The easy to access resources.,None,NA
358,textbook,none for now,not really
359,Having the dates for absolutely everything already is nice. I also like having the ability to watch videos ahead because they are all already posted.,I don’t really have any concerns aside from losing steam towards the end of the semester like I did last semester.,NA
360,"So far I enjoy the structure of the class with the lecture videos that I can pause to take notes and rewind to better understand the content that I might have not initially grasped when first watching it. Additionally, I appreciate the option to further learn and ask questions through the Piazza and during live studio sessions.",I do not have any concerns with this course as I anticipate it will have a similar and familiar structure compared to Linear Algebra from last semester. ,There is nothing I would like to share.
361,I have found the studio sessions to be helpful. ,NA,NA
362,I have enjoyed the course material,nothing as of right now,none
363,I enjoy its asynchrony. ,NA,NA
364,"It is relatively similar to 1554, so I feel right at home with the format of the course. Also openstax",NA,NA
365,I enjoy the discussion platform and the helpful tips on piazza. I also enjoy the ability to work at my own pace and get ahead.,none,none
366,I enjoy the flexibility of the course and the distribution of the material we learn. ,None,None
367,I enjoy the content most of all but also the flexibility of completing assignments on my own time.,NA, NA
368,"I enjoy the simplicity of the formatting in the modules, and how everything is in the same place. ","Im concerned about how much vectors are involved, and how much calculus will be genuinely utilized. ",NA
369,"I enjoy the lecture videos. So far, I feel that they have been comprehensive and have enabled me to effectively understand the content.",I am most concerned about my preparation for the exams.,none
370,The course has lots of real-life applications.,NA,NA
371,I like tha tthe lectures are informatice and the things we learn. ,none,none
372,"I enjoyed the fact that this course is delivered remotely. Therefore, I can watch the lecture just as much as I need and rewatch any part that I didn't understand in the first time.",I am most concerned about the fact that there is nobody that will remind me about the deadlines. I have some difficulty keeping myself on track in the MATH 1554 course that I took last year.,N/A
373,Yay! New course! Just excited in general :),NA,NA
374,I like that I can pace myself however I want and make my own study plans.,none,none
375,I like how there are studio sessions and extra help hours.,NA,NA
376,I do enjoy the MMLs and the structure of the lecture videos are very intuitive.,I'm most concerned about the fact that our exams are 60% of our grade. This feels like a lot of pressure to put on a few tests.,NA
377,I like that we are starting with the basics. That is good for building intuition from basic principles so that we understand the later topics better. I like that we have a survey that makes us think about strategies on how to succeed in this course. ,"The only thing that concerns me is the online nature of the course, which might make it harder for me to keep up with things because I won't be reminded of this class as much as I'm used to for other classes. Hopefully making a calendar will help. ",NA
378,"I especially enjoyed Piazza, where students could freely ask questions and receive answers from both instructors and other students in a timely manner. It really helped me answer some of the questions I had of my own and I could see students had the same questions. ",I am concerned about the difficulty of the new content for this semester,NA
379,Going through the video lessons with the notes printed makes learning the topics easier and the Piazza community is nice.,Not falling behind and doing well on the exams.,NA
380,I like that I can review course content as much as I want to.,None,None
381,"I like how it's entirely online so I can watch the videos and all the assignments are digital homework so I can do them anywhere. I also enjoy how I can easily communicate with other dual enrollment students through Piazza and Discord, and how simple it is to ask quesitons.",NA,NA
382,I like the layout and structure of the course from what I read through the syllabus.,NA,NA
383,"The leniency that is tailored towards high schoolers, but also how rigorous it is. ",NA,NA
384,I enjoy that we are revisiting topics that we've learn so far throughout our high school career but are exploring them with greater depth. I also enjoy that we are applying concepts from linear algebra in this course. ,None,NA
385,I enjoy the independent freedom we have and the various types of resources available to us. ,NA,"I really enjoyed last year, and I am excited to learn about muti calculus. I hope to have an amazing second semester. "
386,"I enjoy the availability of TAs and instructors for help, and the MML is very useful to practice problems.",I am most concerned about making sure I keep pace with the material while doing extra practice outside of the MML.,NA
387,I'm familiar with the set-up from taking Linear Algebra. I really like the MMLs because of the practice I get.,"Sometimes, I get stressed out and forget what I've learned. I know the material, but I want to pace myself to avoid future stress.",N/A
388,"I do enjoy how simple the homework process is, as well as how it guides you to be able to learn the content smoothly. the videos are also very helpful in teaching content.","It would probably be memorizing my material for the exams, since those are not open note.",N/A
389,So far I enjoy that we don't have too much work but just enough to making sure we understand the material. I also like the sample exams that help prepare us for the in person exams.,None, None
390,I enjoy how it is self-paced and you can learn everything on your own through lectures.,NA,NA
391,The lecture videos,NA,NA
392,"I enjoy the time flexibility of the course, allowing me to work on it when I am free and not stressed with other coursework. I also enjoy the lecture videos that make it easy for me to understand concepts. ",none,none
393,"I enjoy how this course provides an alternative method of learning that I don't currently get at my high school; the self-paced nature of this course helps me build good habits and set my schedule. Additionally, both the textbook and the lectures are comprehensible and teach the material in an easy-to-understand manner.",NA,NA
394,I like how we are able to see all of the modules ahead of time. I was scared  on the first day when I only saw that week one was posted.,NA,NA
395,There are many resources accessible to students with clear instructions for how to access them.,Math,NA
396,It's online,none,none
397,I like the structure of the videos and the layout of the canvas pgage.,NA,NA
398,I like Piazza as a way for students to ask questions and get answers quickly. I check it every day to see if there's any new information that will be helpful to me.,NA,NA
399,I love how organized it is and how detailed the instructions are.,NA,NA
400,"So far, I have enjoyed that students are able to work at their own pace. I have also enjoyed that future assignments are open so students who want to work ahead can. Lastly, I enjoy that there are many resources so I can hear the same concept in different perspectives.","Last year, I personally struggled with taking exams. I want to do better so that the grades I get can reflect the knowledge I have learned. I employ better study habits so I do not have to worry while taking exams.",NA
401,Everything about the organization at least with the introduction and the first module is fantastic.,NA,NA
402,"Firstly, I find it exciting to learn new mathematical concepts and techniques each day. Solving problems, especially the challenging ones, is a rewarding experience that keeps me engaged. The instructor's clear explanations make the material easier to grasp, and I appreciate their approach to teaching. Collaborating with classmates on assignments and discussions adds a social element to the learning process, which I find enjoyable.",Pacing myself and practicing enough for the exams.,NA
403,I enjoy the MML homework. The extensive explanations help me understand and comprehend the concepts from the lessons.,NA,NA
404,I like how MML has example problems that walk you through how to solve them step-by-step so I can see where I mess up.,"I am scared about earning another B in a math class. I feel like I've reached my limit with how complex of a subject can I wrap my mind around and feel discouraged. I hope I don't fail this final, like I did in linear algebra.",NA
405,I like that we are doing questions that have practical applications. I like those almost physics problems.,NA,NA
406,The videos are informative,NA,NA
407,i enjoyed being able to watch video recordings on the lessons so I can pause at any time to take notes. ,NA,NA
408,The content is still pretty interesting to me and easy. The lecture videos are simple and have good explanations.,NA,NA
409,I like how the course is structured. It is very organized a clear. The MMLs are very helpful. ,N/A,N/A
410,"It is the same structure as Linear Algebra, and I feel like I learned a lot last semester. It's only been three days so I can't say much else.",N/A,"If I encounter any problems or have any concerns, I will immediately contact you!"
411,"I enjoy the more self-paced nature of the course. Being able to make decisions regarding what my priorities are, and also being able to work ahead have been conducive for my learning.","I'm worried about getting stuck on an important concept and falling behind. I looked ahead to some of the later concepts, like triple integrals, and I'm concerned I won't be able to understand them.","The course seems pretty hard and involved, and I'm worried I won't have enough practice, which I benefit from immensely, for assessments. Practice is often the way where I internalize concepts and ideas."
412,I like how each unit is mainly organized by the week we learn them in ,None,NA
413,It's very accessible and I've learned a lot. Resources are endless.,"I'm a bit worried about being able to handle everything this semester. I'm quite busy as someone in second semester junior year, and I'm worried about having time and energy to effectively complete GT assignments.",NA
414,"I really like how lectures are structured. Information, example, information, example, etc.",I want to make sure I am on top of deadlines. I need to ensure that I sync my Canvas calendar with my google calendar.,Looking forward to learning from you Dr. Mayer. Appreciate all of your support this semester and last.
415,"I like the content of the course, it's very useful",NA,NA
416,"I like that this course is laid out similarly to 1554, as I liked that course. The use of piazza, MML, and recorded videos help contribute to a great learning environemnt.",NA,NA
417,The freedom to do the assignments and watch the lectures when I want.,None,N/A
418,"I like that the lecture slides are directly attached to each lecture video, which makes them easy to access.",NA,I wish we could have a link that combines all the lesson slides for one unit.
419,Math,NA,NA
420,"I like how I can pace myself because of the one week offset in assignments being due. I like the ability to work with peers in person and online. I appreciate all the options to study, such as meetings, piazza, practice tests, etc. We are given all we need to succeed which makes this class very comfortable.",NA,NA
421,all the extra practice we have available,if there is gonna be a lot of true or false questions like last semester,NA
422,I enjoy the flexibility,none,none
423,"It's digital, so I am able to pause lectures, re-listen to lectures, etc. While in class I would not be able to tell my teacher to slow down and all that.",None,NA
424,I really enjoy taking a course at my own pace and the accessibility of resources. ,I'm concerned that it's been a while since I've done any calculus and I might be behind (I can always review on my own!). ,NA
425,I enjoy that the study materials are very effective when it comes to studying for exams.,The workload later into the year.,NA
426,I have enjoyed the organization of the course as well as the content I have learned. I feel like this math class has a lot of valuable skills that I will carry forward to other college mathematics classes. ,Probably remembering all the concepts I learned in calculus well enough to really understand the content of this course.,I am excited to take another calculus class (calculus has definitely been my favorite high school course) and learn further into the subject. 
427,I enjoy the fact that we can learn the content and complete the assignments at our own pace and timeline. ,What concerns me the most is just being able to prepare for the in person exams. But hopefully by doing the practice exams like I did last semester it will be fine. ,NA
428,I liked MMLs and their textbook and example features.,none,NA
429,"Since it is asynchronous, I can choose when to study everyday. Though it is better to have routines, the flexible nature of the course does provide advantage regarding time.","Because I did get a little lost in the middle of the last semester before recovering, I want to make sure I stay on track throughout the entirety of this course.",NA
430,Being able to work at my own pace. I also like the video notes.,none,NA
431,I enjoy the self paced learning. I can take my time to complete the work as needed.,NA,NA
432,I like watching the lectures. It's also great to work on MMLs with friends.,N/A,N/A
433,It's very organized and there are a lot of resources I can use to learn the concepts.,none,none
434,I enjoy working on the course because now I am accustomed to working asynchronously and know how to approach the material so that I can retain what I learn.  ,NA,NA
435,I like the MMLs and lectures.,"I'm concerned about the content getting more difficult with each week, meaning it will take me longer to digest. This may cause me to get behind after several weeks.",N/A
436,The amount of applications.,If it moves too fast and I catch myself behind by more than a week.,NA
437,It's fun to learn about math and be around people who are driven to work hard in this class.,"The difficulty of the course is concerning as it is a college course, but I am confident in my ability to work hard and succeed.",NA
438,"I enjoy that we have ample resources; videos, MMLs, practice questions.",none,none
439,Haven’t started the course yet but found the three dimensional plane very interesting,NA,NA
440,Very easy to manage my time and the deadlines seem very reasonable.,"While I do not have major concerns, there are more exams in this course than linear algebra so I am a little worried about that.",NA
441,"I like that part of linear algebra is tied into multivariable calculus. 

The videos are pretty well explained and I'm understanding things so far in the course.",Nothing. Math is fun,None
442,"I like that the course follows the same method as last semester's format, which lets me become familiar with the course and its available resources. ",none,none
443,I enjoy that I am able to work through this course whenever I have time. I also like that multiple tries are allowed on MML and Module Tests. ,none,none
444,"I appreciate that the course is presented clearly, in a format with Weeks and Modules. It's really helpful to have this format to keep on track and study for exams, and I appreciate exams being spread out to cover all the modules. I know structure is something to be expected in any course, but I really think it shines here. Also, having both the lectures and textbook is nice; I can read through the textbook, take notes, and watch the lectures as a review/to deepen my understanding, and vice-versa.","Ultimately, my biggest concern is grading. Dr. Mayer mentioned in the welcome video that this course would be moving at a faster pace than the last semester of Distance Math (Linear Algebra 1554) and I was only able to make an average B in that course. I do not think I am at risk of making a lower grade in this course, but it would be good to bring my grade up to an A (especially given my plans to secure the Hope Scholarship and gain a secure understanding of this material for further courses that require it.)",N/A
445,I like the videos as they not only help you learn the content but also provide an example that you can solidify your understanding of the content.,I am only concered about how many details we will need to remember from calculus.,N/A
446,"I'm excited to learn about a broader range of mathematics like different dimensions or even topics I learned briefly through physics classes. Also, I like that this course provides different resources like homework assignments, Piazza, and student sessions to encourage my learning.",I don't have any concerns about this course; I'm excited to learn!,N/A
447,I like the review videos for week one reviewing a lot of the relevant concepts from linear algebra,NA,NA
448,"I like how it builds off of some material we learned in our previous class, Math 1554, in the beginning units. I also like how this course is going into more depth in the 3-dimensional plane(s) rather than focusing on 2-dimensions like other courses.",NA,NA
449,"I think through linear algebra, I am more used to the format and assignments in this course. I think one thing I enjoy about this course is that it is not an entirely new concept that you can't perceive such as fourth and beyond dimensions. But I don't know enough about it yet so it's too early to say. ",NA,NA
450,The many ways we can practice for the exams.,None,None
451,The weekly videos are very easy to follow and the practice exams are extremely useful when studying for exams.,NA,NA
452,"The organization of the course: videos, MML, WA, module tests",none,none
453,"I enjoy the pace of the course, the MML assignments, the WebWork assignments, and the TA Studios.",NA,NA
454,The variety of resources available to supplement my learning.,N/A,N/A
455,"So far, I have enjoyed learning about vectors and 3 dimensional coordinates as a slight review through the videos.",none,none
456,videos have lots of examples.,NA,NA
457,"Some things that I enjoy about the course so far are the interactive nature of the student and teacher platforms like Piazza. It is rare that a distance learning class would prioritize connectivity between students and teachers as this one does. I also enjoy the approach of the lecturer to teaching multivariable calculus as her explanations are complex, but they remain concise, straightforward, and understandable to me as a student. ",N/A ,N/A
458,Neat instructions of courses such as how assignments work as well as grading scales of each portion.,NA,NA
459,"Similair structure to the Linear Algebra course, which makes this course easy to get used to.",NA,NA
460,I've enjoyed being able to learn higher level mathematics and be challenged throughout the process. The piazza forum is a great tool I use and check every day along with the studio sessions.  ,None,NA
461,I like how the videos have visual representations so we can actually see what we are doing with the math as this makes things easier to comprehend.,There is not much that concerns me about taking this course.,None
462,That is mostly self paced with certain deadlines that keep me on track. ,NA,NA
463,That the MML allows for unlimited attempts on answers and that the course is mainly virtual.,NA,NA
464,"I enjoy the content of the course, as well as the layout. I also appreciate that it is laid out in the same way as Math 1554, which allows me to directly go into the work rather than figuring out how all of it works.",NA,NA
465,I enjoy the flexibility in when I complete my work. I also just enjoy doing math.,I don't have any concerns. I did well in linear algebra and believe I can do well in this course as well.,Nope
466,I like how the digital format of the class makes it flexible with my schedule and I like that there are several methods available to learn and review content.,NA,NA
467,I enjoy the level of organization of the resources and learning materials in the class.,NA,NA
468,It is very organized.,NA,NA
469,I enjoy how active our Piazza is—everyone is always willing to ask questions and give in-depth answers as well. I also enjoy how in-depth our course content goes into mathematics!,NA,NA
470,I enjoy the idea of using calculus in a 3D world as opposed to the usual 2D applications.,none,none
471,"* The instructors and TA's, who through live sessions and Piazza provide more than enough support to understand course material. 

* The quality of homework and quizzes, which accurately reflect the difficulty of exam material and other summative assessments.","No, I don't have any concerns for this course. ",NA
472,"Honestly, I've always favored calculus over any other type of math and just the idea of getting to do it again makes me so happy. Personally, linear algebra conceptually was BRUTAL.","Honestly, the thought of doing True and False questions on a math test always worries me.",N/A
473,"The amount of resources provided such as textbooks, Pearson study plan, studios, and lecture videos. These can help me ensure that I am fully understanding the content.",NA,NA
474,"I like that help is offered every step of the way, all I need to do is reach out.",NA,NA
475,The course has the same layout as linear algebra which is very convenient.,NA,NA
476,I like the the MML homework is directly embedded into Canvas so that all of the grades are immediately reflected. I also like that the lecture notes are attached right above the video. ,none,NA
477,I enjoy learning harder math and learning on my own time instead of set classes everyday.,none,NA
478,I enjoy the organized posting of modules and clear due dates. ,NA,NA
479,I enjoy using the lecture videos to learn new lessons and content.,NA,NA
480,"I have enjoyed the MMLs as a good way of learning and testing my knowledge. Also, the class is very structured which helps me plan my weeks and remember to complete assignments.",N/A,N/A
481,"I enjoy the short, prerecorded video leuctures.",none,"I play varsity baseball and will be at the field after school from 3:30 to around 8 pm everyday, therefore I will make sure I stay on top scheduling so I don't miss anything."
482,Helpful lectures and reviewing of last semester's course.,NA for the time being.,NA
483,I like the similarity to the Linear Algebra Distance learning class. This makes it easy to know what to expect and do for this class. I enjoy the slower pace of the few video lessons I have already watched. This style makes it easier for me to understand.,none,none
484,I enjoy that I am able to progress through the course at my own pace and that there are many resources available for me should I be struggling.,NA,NA
485,The online nature of the course means that I can control how fast I want to work. I like to work at least one week ahead so I can have plenty of time in case I fall behind.,N/A,N/A
486,I enjoy the ability to work at my own pace and watch studio sessions for more information on topics.,"The only concern I have is time management for the beginning of the first semester, since I have lots of extracurriculars and projects due the first few months.",na
487,The video lectures are helpful in introducing the topics.,Making sure I am adequatley prepared for the exams.,NA
488,"I enjoy how we have a lot of resources. Normally, I do well in classes if I just read the textbook and I find that to be similar in this course too. ",None,NA
489,"It's calculus, so it already makes more sense than linear algebra did. Last semester was like learning a new language. I like how most, if not all of the policies and procedure from last semester essentially carry over into this semester.",The exam dates overlapping with deadlines in AP Research,Seems like we're picking right back up from where we left off in Calc BC
490,I enjoy that we have Piazza to interact with other students.,N/A,N/A
491,I like how hands free it is and how many resources are provided to us,N/A,N/A
492,#NAME?,None,"Same concerns like Linear Algebra with the eye problems, but I did not have many issues, much less severe ones last semester, so hopefully this semester will follow very similarly."
493,I’m excited for the material that we are learning.,NA,NA
494,I like the course's clear and well-organized schedule and pacing. ,I do not have any concerns :),NA
